dateTime,artist,song
5/14/2021 12:50:00,Coldplay,Clocks
5/14/2021 12:46:00,Strawberry Guy,Taking My Time to Be
5/14/2021 12:43:00,Strawberry Guy,Mrs Magic
5/13/2021 23:05:00,Cigarettes After Sex,Keep On Loving You
5/13/2021 23:00:00,alt-J,House of the Rising Sun
5/13/2021 22:58:00,The Kooks,Naïve
5/13/2021 22:54:00,Glass Animals,Tangerine
5/13/2021 22:51:00,Pixies,Monkey Gone to Heaven
5/13/2021 22:48:00,Pixies,Here Comes Your Man
5/13/2021 22:46:00,Pixies,Where Is My Mind? - Remastered
5/13/2021 22:01:00,The Living Tombstone,My Ordinary Life
5/13/2021 16:00:00,LoveJoy,Cause for Concern
5/12/2021 14:36:00,Pixies,Where Is My Mind?
5/11/2021 21:31:00,The Blue Notes,Where is my Mind? - Piano Rendition
5/9/2021 16:16:00,Local Natives,Dark Days
5/9/2021 16:12:00,Unknown Mortal Orchestra,So Good at Being in Trouble
5/9/2021 16:08:00,Dr. Dog,The Breeze
5/9/2021 16:05:00,Bombay Bicycle Club,"Eat, Sleep, Wake (Nothing But You)"
5/9/2021 16:03:00,The Kooks,Seaside
5/9/2021 15:59:00,Sylvan Esso,Funeral Singers
5/9/2021 15:55:00,Milky Chance,Flashed Junk Mind
5/9/2021 15:53:00,Glass Animals,Space Ghost Coast To Coast
5/9/2021 15:49:00,alt-J,Breezeblocks
5/9/2021 15:46:00,Portugal. The Man,Tidal Wave
5/9/2021 15:43:00,Two Door Cinema Club,Undercover Martyn
5/9/2021 13:28:00,Cavetown,Boys Will Be Bugs
5/9/2021 13:25:00,Absofacto,Someone Else’s Dream
5/9/2021 13:21:00,Hippo Campus,Buttercup
5/9/2021 13:17:00,Coin,Talk Too Much
5/9/2021 13:17:00,Declan McKenna,Why Do You Feel So Down
5/9/2021 13:14:00,Coin,Talk Too Much
5/9/2021 13:11:00,Peach Pit,Being so Normal
5/9/2021 13:08:00,Hippo Campus,Bambi
5/9/2021 13:05:00,Coin,I Want It All
5/9/2021 13:02:00,lovelytheband,these are my friends
5/9/2021 12:59:00,half•alive,What's Wrong
5/9/2021 12:55:00,Peach Pit,Black Licorice
5/9/2021 12:52:00,The Happy Fits,"So Alright, Cool, Whatever"
5/9/2021 10:50:00,half•alive,aawake at night
5/9/2021 10:46:00,Wallows,Drunk on Halloween
5/8/2021 21:23:00,Dominic Fike,Vampire
5/8/2021 21:21:00,Odie,North Face
5/8/2021 21:17:00,The Neighbourhood,Devil's Advocate
5/8/2021 21:14:00,Dayglow,Close to You
5/8/2021 21:11:00,Surf Curse,Disco
5/8/2021 21:08:00,Wallows,These Days
5/8/2021 21:04:00,boy pablo,"Dance, Baby!"
5/8/2021 21:00:00,The Neighbourhood,Daddy Issues
5/8/2021 20:56:00,Tame Impala,Borderline
5/8/2021 20:53:00,Role Model,girl in new york
5/8/2021 20:50:00,Beach Fossils,Down the Line
5/8/2021 20:46:00,Between Friends,affection
5/8/2021 20:43:00,Kali Uchis,telepatía
5/8/2021 20:41:00,Duckwrth,Crush
5/8/2021 20:38:00,Tipling Rock,Staring
5/8/2021 20:35:00,Clairo,4EVER
5/8/2021 20:33:00,Thundercat,Funny Thing
5/8/2021 20:30:00,Jack Stauber,Oh Klahoma
5/8/2021 20:26:00,The Plums,Parking Lots
5/8/2021 20:23:00,Dayglow,Run the World!!!
5/8/2021 20:20:00,Ashe,Till Forever Falls Apart
5/8/2021 20:16:00,Brent Faiyaz,Dead Man Walking
5/8/2021 20:12:00,SALES,pope is a rockstar
5/8/2021 20:09:00,Jeremy Zucker,Supercuts
5/8/2021 20:07:00,Molchat Doma,Судно (Борис Рижий)
5/8/2021 20:04:00,Role Model,that's just how it goes
5/8/2021 20:01:00,Wallows,Scrawny
5/8/2021 19:59:00,Steve Lacy,Some
5/8/2021 19:55:00,Kyle Lux,Rollin' Stone
5/8/2021 19:50:00,The Backseat Lovers,Kilby Girl
5/8/2021 19:47:00,Serena Isioma,Sensitive
5/8/2021 19:41:00,Bedroom,In My Head
5/8/2021 19:39:00,Eyedress,Jealous
5/8/2021 19:36:00,Role Model,hello!
5/8/2021 19:33:00,VACATIONS,Young
5/8/2021 19:30:00,Wallows,Are You Bored Yet? (feat. Clairo)
5/8/2021 19:28:00,pinkpantheress,Break It Off
5/8/2021 19:26:00,"Dream, Ivory",welcome and goodbye
5/8/2021 19:23:00,Still Woozy,Rocky
5/8/2021 19:21:00,Dominic Fike,Why
5/8/2021 19:18:00,FINNEAS,Claudia
5/8/2021 19:15:00,Soccer Mommy,Your Dog
5/8/2021 19:11:00,VACATIONS,Telephones
5/8/2021 19:07:00,SZA,Drew Barrymore
5/8/2021 19:04:00,Aaron Taos,Amnesia
5/8/2021 19:01:00,Jontha Links,Duracell
5/8/2021 18:57:00,The Neighbourhood,Stargazing
5/8/2021 18:52:00,The Drums,Money
5/8/2021 18:49:00,Joy Again,Looking Out For You
5/3/2021 15:57:00,Glass Animals,Your Love (Déjà Vu)
5/3/2021 15:49:00,Arctic Monkeys,Do I Wanna Know?
5/3/2021 15:46:00,Arctic Monkeys,Brianstorm
5/3/2021 13:28:00,alt-J,Warm Foothills
5/3/2021 13:24:00,Glass Animals,Youth
5/3/2021 13:21:00,The Maccabees,Toothpaste Kisses
5/3/2021 13:18:00,Dr. Dog,Nellie
5/3/2021 13:13:00,Bombay Bicycle Club,Always Like This
5/3/2021 13:09:00,alt-J,Dissolve Me
5/3/2021 13:05:00,Portugal. The Man,Purple Yellow Red and Blue
5/3/2021 13:01:00,Glass Animals,Black Mambo
5/3/2021 12:57:00,Rainbow Kitten Surprise,Cocaine Jesus
5/3/2021 12:55:00,The Kooks,Taking Pictures of You
5/3/2021 12:52:00,alt-J,Left Hand Free
5/3/2021 12:48:00,Grouplove,Tongue Tied
5/3/2021 12:45:00,Two Door Cinema Club,Sun
5/3/2021 12:41:00,Glass Animals,Poplar St
5/3/2021 12:36:00,Palace,Live Well
5/3/2021 12:32:00,Grizzly Bear,Two Weeks
5/3/2021 12:28:00,Glass Animals,Take A Slice
5/3/2021 12:23:00,Pinhani,Dünyadan Uzak
5/3/2021 12:16:00,alt-J,Hunger of the Pine
5/2/2021 22:06:00,Dayglow,Can I Call You Tonight?
5/2/2021 22:02:00,Melanie Martinez,Play Date
5/2/2021 21:58:00,The Foundations,Build Me Up Buttercup - Mono
5/2/2021 21:54:00,Sody,is your bedroom ceiling bored? (feat. Cavetown)
5/2/2021 21:25:00,Daniel Caesar,Japanese Denim
5/2/2021 18:44:00,Cavetown,Boys Will Be Bugs
5/2/2021 18:41:00,dodie,Absolutely Smitten
5/2/2021 18:39:00,Chloe Moriondo,waves
5/2/2021 18:36:00,Colony House,Silhouettes
5/2/2021 18:33:00,half•alive,What's Wrong
5/2/2021 18:30:00,Hippo Campus,Baseball
5/2/2021 18:27:00,Kid Bloom,"I Kissed A Girl, And She Kissed Me"
5/2/2021 18:25:00,dodie,If I'm Being Honest
5/2/2021 18:21:00,Chloe Moriondo,Silly Girl
5/2/2021 18:17:00,half•alive,still feel.
5/2/2021 18:14:00,arlie,Didya Think
5/2/2021 18:10:00,Absofacto,Dissolve
5/2/2021 18:06:00,Orla Gartland,More Like You
5/2/2021 17:47:00,Jack Stauber's Micropop,Fighter
5/2/2021 17:44:00,half•alive,The Fall
5/2/2021 13:19:00,Wallows,Drunk on Halloween
5/2/2021 13:15:00,Declan McKenna,Brazil
5/2/2021 13:11:00,lovelytheband,buzz cut (feat. MisterWives)
5/2/2021 13:07:00,half•alive,ok ok?
5/2/2021 13:04:00,Peach Pit,Alrighty Aphrodite
5/2/2021 13:00:00,Absofacto,Someone Else’s Dream
5/2/2021 12:57:00,Autoheart,Moscow
5/2/2021 12:54:00,Wallows,Scrawny
5/2/2021 12:50:00,half•alive,aawake at night
5/2/2021 11:36:00,alt-J,House of the Rising Sun
5/2/2021 11:33:00,alt-J,Tessellate
5/2/2021 11:29:00,Portugal. The Man,Purple Yellow Red and Blue
5/2/2021 11:24:00,Shakey Graves,Roll The Bones - Audiotree Live Version
5/2/2021 11:20:00,Sir Sly,&Run
5/2/2021 11:09:00,Broken Bells,The High Road
5/2/2021 11:05:00,alt-J,Lovely Day - Bonus Track
5/2/2021 11:01:00,Glass Animals,Youth
5/1/2021 20:00:00,Palace,Heaven Up There
5/1/2021 19:57:00,The Kooks,She Moves in Her Own Way
5/1/2021 19:53:00,Young the Giant,Superposition
5/1/2021 19:49:00,Phantogram,Don't Move
5/1/2021 19:44:00,Rainbow Kitten Surprise,When It Lands
5/1/2021 19:39:00,Edward Sharpe & The Magnetic Zeros,Home
5/1/2021 19:37:00,The Maccabees,Toothpaste Kisses
5/1/2021 19:33:00,Lewis Del Mar,Wave(s)
5/1/2021 19:29:00,Two Door Cinema Club,What You Know
5/1/2021 19:25:00,Metronomy,The Look
5/1/2021 19:22:00,Rainbow Kitten Surprise,It's Called: Freefall
5/1/2021 19:19:00,Starfucker,Rawnald Gregory Erickson the Second
5/1/2021 19:15:00,José González,Stay Alive
5/1/2021 19:11:00,alt-J,Choice Kingdom
5/1/2021 19:06:00,Glass Animals,Black Mambo
5/1/2021 19:02:00,Bombay Bicycle Club,Always Like This
5/1/2021 18:58:00,Glass Animals,Your Love (Déjà Vu)
5/1/2021 18:54:00,Bombay Bicycle Club,Shuffle
4/29/2021 19:35:00,Hobo Johnson,Uglykid (feat. Elohim)
4/29/2021 19:32:00,JP Saxe,If The World Was Ending
4/29/2021 19:28:00,Isak Danielson,Broken
4/29/2021 19:25:00,Cavetown,Smoke Signals (feat. Tessa Violet)
4/29/2021 19:21:00,Tom Walker,Sun Goes Down (feat. Kojey Radical)
4/29/2021 19:18:00,Harletson,Free the Beautiful
4/29/2021 19:14:00,The Regrettes,Seashore
4/29/2021 19:10:00,Doja Cat,Streets
4/29/2021 19:07:00,Conan Gray,Generation Why
4/29/2021 19:03:00,Briston Maroney,I've Been Waiting
4/29/2021 19:00:00,The Butterfly Effect,Lay All Your Love On Me
4/29/2021 18:56:00,Orla Gartland,I Go Crazy
4/29/2021 18:52:00,Hobo Johnson,Mover Awayer
4/29/2021 18:50:00,Glass Animals,Tokyo Drifting (with Denzel Curry)
4/29/2021 18:46:00,alt-J,Breezeblocks
4/29/2021 18:42:00,Son Lux,Easy
4/29/2021 18:37:00,Glass Animals,Pools
4/29/2021 18:34:00,Young the Giant,Silvertongue
4/29/2021 18:23:00,alt-J,The Gospel of John Hurt
4/29/2021 18:20:00,Rainbow Kitten Surprise,Devil Like Me
4/29/2021 18:16:00,Grizzly Bear,Two Weeks
4/29/2021 18:12:00,Broken Bells,The High Road
4/29/2021 18:08:00,Young the Giant,Superposition
4/29/2021 18:05:00,The Maccabees,Toothpaste Kisses
4/29/2021 18:01:00,alt-J,Deadcrush
4/29/2021 17:46:00,José González,Stay Alive
4/29/2021 17:42:00,Vampire Weekend,Step
4/29/2021 17:39:00,The Kooks,Junk of the Heart (Happy)
4/29/2021 17:37:00,Rainbow Kitten Surprise,It's Called: Freefall
4/29/2021 17:34:00,The Kooks,Always Where I Need to Be
4/29/2021 17:31:00,Starfucker,Rawnald Gregory Erickson the Second
4/29/2021 17:27:00,Young the Giant,Heat of the Summer
4/29/2021 17:24:00,Broken Bells,Good Luck
4/29/2021 17:20:00,Glass Animals,Season 2 Episode 3
4/29/2021 17:17:00,Unknown Mortal Orchestra,Hunnybee
4/29/2021 17:02:00,Passion Pit,Take a Walk
4/29/2021 16:58:00,Bombay Bicycle Club,Shuffle
4/29/2021 16:54:00,Broken Bells,The High Road
4/29/2021 16:48:00,alt-J,Taro
4/29/2021 16:45:00,alt-J,Left Hand Free
4/29/2021 16:40:00,Lewis Del Mar,Wave(s)
4/29/2021 16:34:00,Glass Animals,Youth
4/29/2021 16:31:00,Glass Animals,Life Itself
4/29/2021 10:54:00,Jukebox the Ghost,Fred Astaire
4/29/2021 10:51:00,half•alive,Tip Toes
4/29/2021 10:47:00,half•alive,aawake at night
4/29/2021 10:44:00,arlie,Didya Think
4/29/2021 10:40:00,Declan McKenna,Why Do You Feel So Down
4/29/2021 10:36:00,Cavetown,Green
4/28/2021 13:42:00,Saint Motel,Sweet Talk
4/28/2021 13:39:00,Catfish and the Bottlemen,7
4/28/2021 13:37:00,Christian Leave,please notice
4/28/2021 13:33:00,Milky Chance,Bad Things
4/28/2021 13:29:00,The Ballroom Thieves,Fistfight
4/28/2021 13:26:00,BØRNS,The Emotion
4/28/2021 13:19:00,STRFKR,Open Your Eyes
4/28/2021 13:15:00,Cold War Kids,Hang Me Up to Dry
4/28/2021 13:08:00,Sir Sly,Ghost
4/28/2021 11:56:00,alt-J,Dancing in the Moonlight (Its Caught Me in Its Spotlight) - Recorded at Spotify Studios NYC
4/28/2021 11:52:00,Palace,Bitter
4/28/2021 11:49:00,Vampire Weekend,Unbelievers
4/28/2021 11:44:00,Glass Animals,Poplar St
4/28/2021 11:35:00,Young the Giant,Silvertongue
4/28/2021 11:32:00,alt-J,Deadcrush
4/28/2021 10:58:00,Rainbow Kitten Surprise,When It Lands
4/28/2021 10:55:00,Starfucker,Rawnald Gregory Erickson the Second
4/28/2021 10:50:00,Glass Animals,Pork Soda
4/28/2021 10:46:00,Glass Animals,Black Mambo
4/28/2021 10:45:00,The Kooks,Seaside
4/28/2021 10:24:00,The Kooks,Junk of the Heart (Happy)
4/28/2021 10:20:00,Portugal. The Man,Modern Jesus
4/28/2021 10:16:00,Glass Animals,Mama's Gun
4/28/2021 10:12:00,alt-J,Every Other Freckle
4/28/2021 9:54:00,alt-J,Taro
4/28/2021 9:50:00,Glass Animals,Poplar St
4/28/2021 9:47:00,Broken Bells,Good Luck
4/28/2021 9:46:00,Chet Faker,No Diggity
4/28/2021 9:41:00,Glass Animals,The Other Side of Paradise
4/28/2021 9:38:00,alt-J,Tessellate
4/28/2021 9:34:00,alt-J,Dissolve Me
4/28/2021 9:28:00,Arcade Fire,The Suburbs
4/28/2021 9:22:00,Broken Bells,Good Luck
4/28/2021 9:17:00,alt-J,Hunger of the Pine
4/28/2021 9:11:00,Glass Animals,Gooey
4/27/2021 20:20:00,Glass Animals,Youth
4/27/2021 20:17:00,alt-J,Breezeblocks
4/27/2021 20:13:00,alt-J,Lovely Day - Bonus Track
4/27/2021 20:10:00,alt-J,"Bloodflood, Part II"
4/27/2021 20:10:00,alt-J,Leaving Nara
4/27/2021 20:04:00,alt-J,"Bloodflood, Part II"
4/27/2021 20:01:00,alt-J,Pusher
4/27/2021 19:56:00,alt-J,The Gospel of John Hurt
4/27/2021 19:52:00,alt-J,Warm Foothills
4/27/2021 19:47:00,alt-J,Hunger of the Pine
4/27/2021 19:45:00,Foals,Spanish Sahara
4/27/2021 19:45:00,Imagine Dragons,Warriors
4/27/2021 15:57:00,alt-J,Deadcrush
4/27/2021 15:53:00,Broken Bells,The High Road
4/27/2021 15:45:00,Arcade Fire,The Suburbs
4/27/2021 15:41:00,Dr. Dog,Nellie
4/27/2021 15:37:00,Local Natives,Coins
4/27/2021 15:33:00,Unknown Mortal Orchestra,So Good at Being in Trouble
4/27/2021 15:28:00,Two Door Cinema Club,Sun
4/27/2021 15:25:00,Mika,Grace Kelly
4/27/2021 15:21:00,Broken Bells,The High Road
4/27/2021 15:16:00,Glass Animals,Agnes
4/27/2021 15:14:00,The Kooks,She Moves in Her Own Way
4/26/2021 20:19:00,Sylvan Esso,Die Young
4/26/2021 20:15:00,Sylvan Esso,Coffee
4/26/2021 20:11:00,Palace,Bitter
4/26/2021 20:08:00,alt-J,Tessellate
4/26/2021 20:03:00,José González,Stay Alive
4/26/2021 12:13:00,Foals,My Number
4/26/2021 12:10:00,The Kooks,She Moves in Her Own Way
4/26/2021 12:05:00,alt-J,House of the Rising Sun
4/26/2021 12:01:00,NoMBe,Wait
4/26/2021 11:57:00,Bombay Bicycle Club,Always Like This
4/26/2021 11:54:00,Two Door Cinema Club,Sun
4/26/2021 11:50:00,Starfucker,Kahlil Gibran
4/26/2021 11:45:00,alt-J,Nara
4/26/2021 11:40:00,alt-J,Hunger of the Pine
4/26/2021 11:36:00,Sylvan Esso,Die Young
4/26/2021 11:33:00,Bombay Bicycle Club,Luna
4/26/2021 11:26:00,Foals,Spanish Sahara
4/26/2021 11:22:00,Sylvan Esso,Coffee
4/26/2021 11:16:00,Glass Animals,Helium
4/26/2021 11:12:00,Lewis Del Mar,Wave(s)
4/26/2021 11:09:00,Rainbow Kitten Surprise,Devil Like Me
4/26/2021 11:06:00,The Kooks,Naïve
4/26/2021 11:02:00,Unknown Mortal Orchestra,Multi-Love
4/26/2021 10:57:00,Grouplove,Colours
4/26/2021 10:53:00,José González,Stay Alive
4/26/2021 10:50:00,Young the Giant,Silvertongue
4/26/2021 10:45:00,Glass Animals,Poplar St
4/26/2021 10:40:00,Ben Howard,Old Pine
4/26/2021 10:37:00,Glass Animals,Cane Shuga
4/26/2021 10:33:00,Grouplove,Deadline
4/26/2021 10:30:00,alt-J,Left Hand Free
4/26/2021 10:25:00,Vampire Weekend,Harmony Hall
4/26/2021 10:21:00,Palace,Bitter
4/26/2021 10:16:00,alt-J,3WW
4/25/2021 16:14:00,The xx,Islands
4/25/2021 16:11:00,TV on the Radio,Will Do
4/25/2021 16:09:00,The Happy Fits,Best Tears
4/25/2021 15:38:00,The Honeysticks,Out Like a Light
4/25/2021 15:35:00,Mac DeMarco,Freaking Out the Neighborhood
4/25/2021 15:31:00,MUNA,Navy Blue
4/25/2021 15:27:00,Tom Odell,I Know
4/25/2021 15:23:00,Passion Pit,Take a Walk
4/25/2021 15:18:00,Everything Everything,No Reptiles
4/25/2021 15:14:00,Milky Chance,Bad Things
4/25/2021 15:10:00,Sir Sly,Ghost
4/25/2021 14:45:00,Arcade Fire,The Suburbs
4/25/2021 14:41:00,Milky Chance,Bad Things
4/25/2021 14:39:00,Morning Teleportation,No Distance
4/25/2021 14:33:00,Dayglow,False Direction
4/25/2021 14:12:00,José González,Hand on Your Heart
4/25/2021 14:09:00,José González,Vissel
4/25/2021 14:05:00,The Books,Cello Song
4/25/2021 14:03:00,Zero 7,Left Behind
4/25/2021 14:01:00,José González,El Invento
4/25/2021 13:58:00,José González,Far Away
4/25/2021 13:54:00,José González,Stay Alive
4/25/2021 13:52:00,Jake Bugg,All I Need
4/25/2021 13:51:00,Jake Bugg,All I Need
4/25/2021 13:26:00,Mumford & Sons,I Will Wait
4/25/2021 13:21:00,Harry Styles,Golden
4/25/2021 13:18:00,Malia Civetz,Broke Boy
4/25/2021 13:11:00,Fleetwood Mac,Dreams - 2004 Remaster
4/25/2021 13:03:00,Michael Zager Band,Let's All Chant
4/25/2021 13:00:00,The Stargazers,Broken Wings
4/25/2021 12:52:00,Frédéric Chopin,"Chopin: Nocturne No. 2 in E-flat major, Op. 9 No. 2"
4/25/2021 12:47:00,Jacques Offenbach,"The Tales of Hoffmann, Act II: Barcarole"
4/25/2021 12:44:00,Maria Caniglia,"La forza del Destino: ""Pace, pace mio dio"""
4/25/2021 12:38:00,Franz Liszt,"Liebestraum No.3 in A flat, S.541 No.3"
4/25/2021 12:34:00,Philharmonische Vereinigung Arte Sinfonica,"Konzert für Klarinette und Orchester, A-Dur, KV 622: II. Adagio"
4/25/2021 12:27:00,Sam Cooke,(What A) Wonderful World
4/25/2021 12:25:00,Santo & Johnny,Sleep Walk
4/25/2021 12:22:00,Chuck Berry,Too Much Monkey Business
4/25/2021 12:19:00,RM Hubbert,Skyreburn
4/25/2021 12:17:00,Eddie Vedder,Tuolumne
4/25/2021 12:16:00,Chuck Berry,Mad Lad
4/24/2021 12:25:00,Ricky Montgomery,This December
4/24/2021 12:21:00,Michael Cera Palin,Laughing Makes It Worse
4/24/2021 11:33:00,Gus Dapperton,Post Humorous
4/24/2021 11:31:00,Jukebox the Ghost,Under My Skin
4/24/2021 11:27:00,lovelytheband,broken
4/24/2021 11:24:00,Saint Motel,For Elise
4/24/2021 11:21:00,Dayglow,Run the World!!!
4/24/2021 11:16:00,Declan McKenna,British Bombs
4/24/2021 11:10:00,The Black Keys,Little Black Submarines
4/24/2021 11:10:00,The Stop Motion,Petri Dish
4/24/2021 8:19:00,REO Speedwagon,Take It on the Run
4/24/2021 8:15:00,Édith Piaf,"Non, je ne regrette rien"
4/24/2021 8:13:00,Damien Rice,Delicate
4/24/2021 8:07:00,Adele,Rolling in the Deep
4/24/2021 8:04:00,Electric Light Orchestra,Mr. Blue Sky
4/24/2021 7:48:00,Tame Impala,Eventually
4/24/2021 7:44:00,Florence + the Machine,Dog Days Are Over
4/24/2021 7:41:00,Little Mix,Boy
4/23/2021 16:57:00,Portugal. The Man,Feel It Still
4/23/2021 16:51:00,Glass Animals,Season 2 Episode 3
4/23/2021 16:50:00,Glass Animals,[Premade Sandwiches]
4/23/2021 16:45:00,alt-J,Intro
4/23/2021 16:42:00,Saint Motel,Sweet Talk
4/23/2021 16:38:00,alt-J,Arrival in Nara
4/23/2021 16:38:00,Rainbow Kitten Surprise,Devil Like Me
4/23/2021 16:35:00,Rainbow Kitten Surprise,Devil Like Me
4/23/2021 16:32:00,Saint Motel,My Type
4/23/2021 16:27:00,Glass Animals,Poplar St
4/21/2021 19:09:00,Saint Motel,Sweet Talk
4/21/2021 19:06:00,dodie,you
4/21/2021 19:03:00,Chloe Moriondo,Silly Girl
4/21/2021 18:58:00,Cavetown,home
4/21/2021 18:53:00,Peach Pit,Peach Pit
4/21/2021 18:51:00,half•alive,ice cold. (with Kimbra)
4/21/2021 18:47:00,Saint Motel,Cold Cold Man
4/21/2021 18:43:00,Coast Modern,Guru
4/21/2021 18:40:00,half•alive,Pure Gold
4/21/2021 18:37:00,half•alive,What's Wrong
4/21/2021 18:33:00,mxmtoon,bon iver
4/21/2021 18:29:00,Cavetown,it's u
4/21/2021 18:25:00,half•alive,ok ok?
4/21/2021 18:22:00,half•alive,BREAKFAST
4/21/2021 18:18:00,The Happy Fits,Hold Me Down
4/21/2021 18:15:00,Peach Pit,Alrighty Aphrodite
4/21/2021 18:11:00,Dayglow,Hot Rod
4/21/2021 18:09:00,Dayglow,Something
4/21/2021 18:06:00,lovelytheband,broken
4/21/2021 18:03:00,dodie,cool girl
4/21/2021 17:59:00,Peach Pit,Sweet FA
4/21/2021 17:55:00,Sure Sure,This Must Be the Place
4/21/2021 17:52:00,dodie,Ready Now
4/21/2021 17:49:00,Coast Modern,Dive
4/21/2021 17:43:00,Cavetown,hug all ur friends
4/21/2021 17:41:00,Mac DeMarco,Salad Days
4/21/2021 17:38:00,Breakup Shoes,Breakup Shoes
4/21/2021 17:34:00,Rex Orange County,Best Friend
4/21/2021 17:31:00,Naive Thieves,ShakeDownTown
4/21/2021 17:28:00,The Long Faces,Jane!
4/21/2021 17:22:00,Cavetown,Boys Will Be Bugs
4/21/2021 17:20:00,i tried to run away when i was 6 (but got too scared to cross the street),what the heck
4/21/2021 17:16:00,Breakup Shoes,Playing With Fire
4/21/2021 17:13:00,Jeremy Zucker,better off - filous remix
4/21/2021 17:11:00,Cyberbully Mom Club,drunk text romance
4/21/2021 17:06:00,Yellow Days,A Little While
4/21/2021 17:03:00,Mac DeMarco,Cooking Up Something Good
4/21/2021 16:59:00,Ai Bendr,Runaway
4/21/2021 16:56:00,Paul Cherry,Like Yesterday
4/21/2021 16:53:00,The Velveteins,Hanging from the Ceiling
4/21/2021 16:49:00,Michelle,THE BOTTOM
4/21/2021 16:44:00,Rex Orange County,Pluto Projector
4/21/2021 16:44:00,The xx,On Hold
4/21/2021 16:32:00,Men I Trust,Lauren
4/21/2021 16:30:00,Two Door Cinema Club,Sun
4/21/2021 16:24:00,alt-J,Arrival in Nara
4/21/2021 16:20:00,Dr. Dog,Nellie
4/21/2021 16:17:00,Lewis Del Mar,Wave(s)
4/21/2021 15:28:00,Grouplove,Tongue Tied
4/20/2021 18:45:00,Vance Joy,Mess Is Mine
4/20/2021 18:43:00,The Foundations,Build Me Up Buttercup - Mono
4/20/2021 18:40:00,The Beach Boys,God Only Knows - Remastered 1997 / Mono
4/20/2021 18:37:00,Tommy James & The Shondells,Crimson & Clover
4/20/2021 18:35:00,The Zombies,This Will Be Our Year
4/20/2021 18:23:00,Sonny & Cher,I Got You Babe
4/20/2021 18:19:00,Sonny & Cher,The Beat Goes On
4/20/2021 18:15:00,Sonny & Cher,I Got You Babe
4/20/2021 15:35:00,Glass Animals,Season 2 Episode 3
4/20/2021 15:31:00,Glass Animals,Youth
4/20/2021 15:26:00,Glass Animals,Life Itself
4/20/2021 15:21:00,Glass Animals,Poplar St
4/20/2021 15:18:00,Dr. Dog,Nellie
4/20/2021 15:14:00,Lewis Del Mar,Wave(s)
4/20/2021 14:51:00,Two Door Cinema Club,Sun
4/20/2021 14:47:00,Rainbow Kitten Surprise,Cocaine Jesus
4/20/2021 14:44:00,Young the Giant,Heat of the Summer
4/20/2021 14:38:00,Balthazar,Fever
4/20/2021 14:34:00,alt-J,In Cold Blood
4/20/2021 14:30:00,Milky Chance,Cocoon - Acoustic
4/20/2021 14:19:00,Arcade Fire,Dimensions
4/20/2021 14:16:00,alt-J,Intro
4/19/2021 16:19:00,Lewis Del Mar,Wave(s)
4/19/2021 16:16:00,Bon Jovi,Livin' on a Prayer
4/19/2021 16:14:00,Two Door Cinema Club,Sun
4/19/2021 16:10:00,Dr. Dog,Nellie
4/19/2021 16:07:00,alt-J,Leaving Nara
4/19/2021 16:02:00,alt-J,"Bloodflood, Part II"
4/19/2021 15:58:00,alt-J,Pusher
